# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Angle of attack (°),Mass (g),Motor mass (g),Drag force (N),Drag coefficient (​),Air temperature (°C),Air pressure (mbar),Mach number (​)
34.973,1.18E+04,120.33,10.473,407.003,0.397,407.003,0.251,4.67E+04,0,33.373,0.489,-56.5,180.2,0.406
35.023,1.18E+04,119.807,10.467,407.416,0.398,407.417,0.295,4.67E+04,0,33.038,0.489,-56.5,180.024,0.404
35.073,1.18E+04,119.285,10.46,407.83,0.399,407.83,0.322,4.67E+04,0,32.706,0.489,-56.5,179.849,0.402
35.123,1.18E+04,118.764,10.454,408.243,0.4,408.243,0.338,4.67E+04,0,32.377,0.489,-56.5,179.675,0.4
35.173,1.18E+04,118.243,10.446,408.656,0.401,408.656,0.323,4.67E+04,0,32.05,0.489,-56.5,179.502,0.398
35.223,1.19E+04,117.722,10.439,409.069,0.402,409.07,0.293,4.67E+04,0,31.727,0.488,-56.5,179.329,0.397
35.273,1.19E+04,117.201,10.432,409.483,0.403,409.483,0.293,4.67E+04,0,31.404,0.488,-56.5,179.158,0.395
35.323,1.19E+04,116.681,10.423,409.896,0.404,409.896,0.229,4.67E+04,0,31.086,0.488,-56.5,178.987,0.393
35.373,1.19E+04,116.162,10.415,410.309,0.405,410.309,0.149,4.67E+04,0,30.773,0.488,-56.5,178.816,0.392
35.423,1.19E+04,115.642,10.408,410.722,0.406,410.722,0.163,4.67E+04,0,30.456,0.488,-56.5,178.649,0.39
35.473,1.19E+04,115.123,10.403,411.135,0.407,411.135,0.205,4.67E+04,0,30.141,0.488,-56.5,178.493,0.388
35.523,1.19E+04,114.604,10.396,411.548,0.408,411.548,0.212,4.67E+04,0,29.831,0.487,-56.5,178.338,0.386
35.573,1.19E+04,114.086,10.389,411.961,0.409,411.961,0.182,4.67E+04,0,29.524,0.487,-56.5,178.184,0.384
35.623,1.19E+04,113.568,10.382,412.374,0.41,412.374,0.145,4.67E+04,0,29.221,0.487,-56.5,178.03,0.383
35.673,1.19E+04,113.05,10.375,412.787,0.411,412.787,0.128,4.67E+04,0,28.918,0.487,-56.5,177.877,0.381
35.723,1.19E+04,112.533,10.367,413.199,0.412,413.199,0.082,4.67E+04,0,28.62,0.487,-56.5,177.724,0.379
35.773,1.19E+04,112.016,10.36,413.612,0.413,413.612,0.032,4.67E+04,0,28.325,0.486,-56.5,177.573,0.378
35.823,1.19E+04,111.499,10.353,414.024,0.414,414.024,0.032,4.67E+04,0,28.033,0.486,-56.5,177.422,0.376
35.873,1.19E+04,110.983,10.345,414.436,0.415,414.436,0.144,4.67E+04,0,27.75,0.486,-56.5,177.271,0.374
35.923,1.19E+04,110.467,10.337,414.848,0.416,414.848,0.224,4.67E+04,0,27.466,0.486,-56.5,177.122,0.372
35.973,1.19E+04,109.951,10.331,415.26,0.417,415.26,0.259,4.67E+04,0,27.18,0.486,-56.5,176.973,0.371
36.023,1.19E+04,109.436,10.324,415.671,0.418,415.671,0.349,4.67E+04,0,26.905,0.486,-56.5,176.825,0.369
36.073,1.20E+04,108.921,10.316,416.082,0.419,416.082,0.451,4.67E+04,0,26.635,0.486,-56.5,176.677,0.367
36.123,1.20E+04,108.406,10.31,416.493,0.42,416.493,0.488,4.67E+04,0,26.357,0.485,-56.5,176.53,0.366
36.173,1.20E+04,107.892,10.304,416.903,0.421,416.903,0.49,4.67E+04,0,26.077,0.485,-56.5,176.384,0.364
36.223,1.20E+04,107.378,10.297,417.313,0.422,417.313,0.539,4.67E+04,0,25.807,0.485,-56.5,176.239,0.362
36.273,1.20E+04,106.864,10.291,417.722,0.423,417.722,0.575,4.67E+04,0,25.537,0.485,-56.5,176.094,0.36
36.323,1.20E+04,106.351,10.285,418.131,0.424,418.131,0.563,4.67E+04,0,25.261,0.485,-56.5,175.95,0.359
36.373,1.20E+04,105.837,10.279,418.539,0.425,418.54,0.589,4.67E+04,0,24.995,0.485,-56.5,175.807,0.357
36.423,1.20E+04,105.324,10.274,418.947,0.426,418.948,0.586,4.67E+04,0,24.726,0.484,-56.5,175.664,0.355
36.473,1.20E+04,104.812,10.269,419.355,0.427,419.355,0.524,4.67E+04,0,24.449,0.484,-56.5,175.523,0.353
36.523,1.20E+04,104.3,10.264,419.762,0.428,419.762,0.404,4.67E+04,0,24.167,0.484,-56.5,175.381,0.352
36.573,1.20E+04,103.788,10.26,420.169,0.429,420.169,0.317,4.67E+04,0,23.894,0.484,-56.5,175.241,0.35
36.623,1.20E+04,103.276,10.254,420.576,0.43,420.576,0.31,4.67E+04,0,23.634,0.484,-56.5,175.101,0.348
36.673,1.20E+04,102.764,10.249,420.982,0.431,420.982,0.312,4.67E+04,0,23.378,0.484,-56.5,174.962,0.346
36.723,1.20E+04,102.253,10.243,421.388,0.432,421.388,0.289,4.67E+04,0,23.12,0.483,-56.5,174.823,0.345
36.773,1.20E+04,101.743,10.239,421.793,0.433,421.794,0.244,4.67E+04,0,22.862,0.483,-56.5,174.686,0.343
36.823,1.20E+04,101.232,10.233,422.199,0.434,422.199,0.227,4.67E+04,0,22.61,0.483,-56.5,174.549,0.341
36.873,1.20E+04,100.722,10.228,422.604,0.435,422.604,0.207,4.67E+04,0,22.359,0.483,-56.5,174.412,0.34
36.923,1.20E+04,100.212,10.223,423.009,0.436,423.009,0.19,4.67E+04,0,22.11,0.483,-56.5,174.277,0.338
36.973,1.20E+04,99.702,10.218,423.414,0.437,423.414,0.181,4.67E+04,0,21.865,0.483,-56.5,174.142,0.336
37.023,1.21E+04,99.193,10.213,423.818,0.438,423.818,0.13,4.67E+04,0,21.617,0.483,-56.5,174.007,0.335
37.073,1.21E+04,98.683,10.208,424.222,0.439,424.223,0.131,4.67E+04,0,21.377,0.482,-56.5,173.874,0.333
37.123,1.21E+04,98.175,10.202,424.627,0.44,424.627,0.199,4.67E+04,0,21.145,0.482,-56.5,173.741,0.331
37.173,1.21E+04,97.666,10.197,425.03,0.441,425.031,0.172,4.67E+04,0,20.905,0.482,-56.5,173.609,0.329
37.223,1.21E+04,97.158,10.193,425.434,0.442,425.434,0.145,4.67E+04,0,20.667,0.482,-56.5,173.477,0.328
37.273,1.21E+04,96.65,10.188,425.837,0.444,425.838,0.15,4.67E+04,0,20.435,0.482,-56.5,173.346,0.326
37.323,1.21E+04,96.142,10.183,426.241,0.445,426.241,0.096,4.67E+04,0,20.198,0.482,-56.5,173.216,0.324
37.373,1.21E+04,95.634,10.179,426.644,0.446,426.644,0.039,4.67E+04,0,19.964,0.482,-56.5,173.087,0.323
37.423,1.21E+04,95.127,10.175,427.047,0.447,427.047,0.017,4.67E+04,0,19.735,0.481,-56.5,172.958,0.321
37.473,1.21E+04,94.62,10.17,427.449,0.448,427.45,0.013,4.67E+04,0,19.506,0.481,-56.5,172.83,0.319
37.523,1.21E+04,94.113,10.166,427.852,0.449,427.852,0.094,4.67E+04,0,19.276,0.481,-56.5,172.703,0.318
37.573,1.21E+04,93.607,10.163,428.254,0.45,428.255,0.159,4.67E+04,0,19.05,0.481,-56.5,172.576,0.316
37.623,1.21E+04,93.1,10.158,428.657,0.451,428.657,0.187,4.67E+04,0,18.827,0.481,-56.5,172.45,0.314
37.673,1.21E+04,92.594,10.154,429.059,0.452,429.059,0.207,4.67E+04,0,18.607,0.481,-56.5,172.325,0.312
37.723,1.21E+04,92.089,10.15,429.461,0.453,429.462,0.281,4.67E+04,0,18.385,0.481,-56.5,172.2,0.311
37.773,1.21E+04,91.583,10.146,429.864,0.454,429.864,0.322,4.67E+04,0,18.167,0.48,-56.5,172.076,0.309
37.823,1.21E+04,91.078,10.141,430.266,0.455,430.266,0.302,4.67E+04,0,17.953,0.48,-56.5,171.953,0.307
37.873,1.21E+04,90.573,10.137,430.668,0.456,430.668,0.32,4.67E+04,0,17.739,0.48,-56.5,171.83,0.306
37.923,1.21E+04,90.068,10.134,431.07,0.457,431.07,0.432,4.67E+04,0,17.524,0.48,-56.5,171.709,0.304
37.973,1.21E+04,89.564,10.131,431.472,0.458,431.472,0.509,4.67E+04,0,17.311,0.48,-56.5,171.587,0.302
38.023,1.21E+04,89.059,10.126,431.874,0.459,431.875,0.484,4.67E+04,0,17.103,0.48,-56.5,171.467,0.3
38.073,1.21E+04,88.555,10.12,432.277,0.46,432.277,0.427,4.67E+04,0,16.896,0.48,-56.5,171.347,0.299
38.123,1.22E+04,88.051,10.115,432.679,0.461,432.679,0.375,4.67E+04,0,16.691,0.48,-56.5,171.228,0.297
38.173,1.22E+04,87.548,10.11,433.081,0.462,433.081,0.331,4.67E+04,0,16.488,0.479,-56.5,171.109,0.296
38.223,1.22E+04,87.045,10.105,433.483,0.463,433.483,0.282,4.67E+04,0,16.286,0.479,-56.5,170.992,0.294
38.273,1.22E+04,86.541,10.1,433.885,0.465,433.886,0.256,4.67E+04,0,16.086,0.479,-56.5,170.875,0.292
38.323,1.22E+04,86.039,10.096,434.287,0.466,434.288,0.254,4.67E+04,0,15.885,0.479,-56.5,170.758,0.291
38.373,1.22E+04,85.536,10.092,434.689,0.467,434.69,0.275,4.67E+04,0,15.685,0.479,-56.5,170.643,0.289
38.423,1.22E+04,85.034,10.088,435.091,0.468,435.092,0.327,4.67E+04,0,15.486,0.479,-56.5,170.528,0.287
38.473,1.22E+04,84.532,10.085,435.493,0.469,435.494,0.376,4.67E+04,0,15.288,0.479,-56.5,170.413,0.285
38.523,1.22E+04,84.03,10.081,435.895,0.47,435.895,0.408,4.67E+04,0,15.092,0.478,-56.5,170.3,0.284
38.573,1.22E+04,83.528,10.077,436.297,0.471,436.297,0.433,4.67E+04,0,14.898,0.478,-56.5,170.187,0.282
38.623,1.22E+04,83.027,10.072,436.699,0.472,436.699,0.39,4.67E+04,0,14.708,0.478,-56.5,170.074,0.28
38.673,1.22E+04,82.526,10.067,437.101,0.473,437.101,0.336,4.67E+04,0,14.519,0.478,-56.5,169.963,0.279
38.723,1.22E+04,82.025,10.064,437.503,0.474,437.503,0.353,4.67E+04,0,14.329,0.478,-56.5,169.852,0.277
38.773,1.22E+04,81.524,10.059,437.905,0.475,437.905,0.337,4.67E+04,0,14.142,0.478,-56.5,169.742,0.275
38.823,1.22E+04,81.024,10.055,438.306,0.476,438.307,0.289,4.67E+04,0,13.958,0.478,-56.5,169.632,0.274
38.873,1.22E+04,80.523,10.05,438.708,0.477,438.708,0.243,4.67E+04,0,13.775,0.478,-56.5,169.523,0.272
38.923,1.22E+04,80.023,10.045,439.11,0.478,439.11,0.158,4.67E+04,0,13.595,0.478,-56.5,169.415,0.27
38.973,1.22E+04,79.524,10.041,439.512,0.48,439.512,0.138,4.67E+04,0,13.414,0.477,-56.5,169.307,0.269
39.023,1.22E+04,79.024,10.037,439.913,0.481,439.913,0.158,4.67E+04,0,13.233,0.477,-56.5,169.201,0.267
39.073,1.22E+04,78.525,10.033,440.315,0.482,440.315,0.137,4.67E+04,0,13.055,0.477,-56.5,169.094,0.265
39.123,1.22E+04,78.026,10.029,440.716,0.483,440.716,0.095,4.67E+04,0,12.879,0.477,-56.5,168.989,0.264
39.173,1.22E+04,77.527,10.025,441.117,0.484,441.118,0.076,4.67E+04,0,12.704,0.477,-56.5,168.884,0.262
39.223,1.22E+04,77.028,10.021,441.518,0.485,441.519,0.041,4.67E+04,0,12.531,0.477,-56.5,168.78,0.26
39.273,1.22E+04,76.53,10.016,441.92,0.486,441.92,0.054,4.67E+04,0,12.364,0.477,-56.5,168.677,0.259
39.323,1.23E+04,76.032,10.011,442.321,0.487,442.321,0.122,4.67E+04,0,12.196,0.477,-56.5,168.574,0.257
39.373,1.23E+04,75.534,10.008,442.721,0.488,442.722,0.13,4.67E+04,0,12.026,0.477,-56.5,168.472,0.255
39.423,1.23E+04,75.036,10.004,443.122,0.489,443.122,0.129,4.67E+04,0,11.858,0.476,-56.5,168.37,0.253
39.473,1.23E+04,74.538,10.001,443.523,0.49,443.523,0.104,4.67E+04,0,11.688,0.476,-56.5,168.27,0.252
39.523,1.23E+04,74.041,9.997,443.923,0.491,443.923,0.092,4.67E+04,0,11.522,0.476,-56.5,168.17,0.25
39.573,1.23E+04,73.544,9.993,444.323,0.493,444.324,0.135,4.67E+04,0,11.36,0.476,-56.5,168.07,0.248
39.623,1.23E+04,73.047,9.99,444.724,0.494,444.724,0.14,4.67E+04,0,11.197,0.476,-56.5,167.971,0.247
39.673,1.23E+04,72.55,9.987,445.124,0.495,445.124,0.121,4.67E+04,0,11.034,0.476,-56.5,167.873,0.245
39.723,1.23E+04,72.054,9.984,445.524,0.496,445.524,0.097,4.67E+04,0,10.873,0.476,-56.5,167.776,0.243
39.773,1.23E+04,71.558,9.98,445.923,0.497,445.924,0.129,4.67E+04,0,10.716,0.476,-56.5,167.679,0.242
39.823,1.23E+04,71.062,9.976,446.323,0.498,446.323,0.191,4.67E+04,0,10.562,0.476,-56.5,167.583,0.24
39.873,1.23E+04,70.566,9.972,446.722,0.499,446.723,0.274,4.67E+04,0,10.412,0.475,-56.5,167.488,0.238
39.923,1.23E+04,70.07,9.968,447.122,0.5,447.122,0.338,4.67E+04,0,10.262,0.475,-56.5,167.394,0.237
39.973,1.23E+04,69.575,9.964,447.521,0.501,447.521,0.394,4.67E+04,0,10.113,0.475,-56.5,167.3,0.235
40.023,1.23E+04,69.08,9.961,447.92,0.502,447.92,0.439,4.67E+04,0,9.964,0.475,-56.5,167.206,0.233
40.073,1.23E+04,68.585,9.957,448.319,0.504,448.319,0.528,4.67E+04,0,9.821,0.475,-56.5,167.114,0.232
40.123,1.23E+04,68.09,9.953,448.718,0.505,448.718,0.562,4.67E+04,0,9.674,0.475,-56.5,167.022,0.23
40.173,1.23E+04,67.595,9.95,449.116,0.506,449.116,0.576,4.67E+04,0,9.528,0.475,-56.5,166.93,0.228
40.223,1.23E+04,67.101,9.946,449.514,0.507,449.514,0.655,4.67E+04,0,9.388,0.475,-56.5,166.84,0.227
40.273,1.23E+04,66.607,9.943,449.912,0.508,449.912,0.717,4.67E+04,0,9.249,0.475,-56.5,166.75,0.225
40.323,1.23E+04,66.113,9.939,450.31,0.509,450.31,0.742,4.67E+04,0,9.107,0.475,-56.5,166.661,0.224
40.373,1.23E+04,65.619,9.937,450.708,0.51,450.708,0.732,4.67E+04,0,8.964,0.474,-56.5,166.572,0.222
40.423,1.23E+04,65.125,9.933,451.105,0.511,451.105,0.772,4.67E+04,0,8.827,0.474,-56.5,166.484,0.22
40.473,1.23E+04,64.632,9.93,451.502,0.512,451.502,0.814,4.67E+04,0,8.691,0.474,-56.5,166.397,0.219
40.523,1.23E+04,64.139,9.927,451.899,0.513,451.899,0.79,4.67E+04,0,8.551,0.474,-56.5,166.31,0.217
40.573,1.23E+04,63.646,9.924,452.296,0.515,452.296,0.817,4.67E+04,0,8.417,0.474,-56.5,166.225,0.215
40.623,1.23E+04,63.153,9.921,452.692,0.516,452.692,0.925,4.67E+04,0,8.291,0.474,-56.5,166.139,0.214
40.673,1.23E+04,62.66,9.917,453.088,0.517,453.089,1.011,4.67E+04,0,8.165,0.474,-56.5,166.055,0.212
40.723,1.23E+04,62.168,9.914,453.484,0.518,453.485,1.033,4.67E+04,0,8.034,0.474,-56.5,165.971,0.21
40.773,1.24E+04,61.676,9.912,453.88,0.519,453.88,1.002,4.67E+04,0,7.9,0.474,-56.5,165.888,0.209
40.823,1.24E+04,61.184,9.91,454.275,0.52,454.276,0.935,4.67E+04,0,7.764,0.474,-56.5,165.805,0.207
40.873,1.24E+04,60.692,9.907,454.671,0.521,454.671,0.911,4.67E+04,0,7.633,0.474,-56.5,165.723,0.205
40.923,1.24E+04,60.2,9.904,455.066,0.522,455.066,0.991,4.67E+04,0,7.513,0.473,-56.5,165.642,0.204
40.973,1.24E+04,59.709,9.901,455.46,0.524,455.461,0.997,4.67E+04,0,7.388,0.473,-56.5,165.562,0.202
41.023,1.24E+04,59.218,9.899,455.855,0.525,455.855,0.926,4.67E+04,0,7.257,0.473,-56.5,165.482,0.2
41.073,1.24E+04,58.727,9.896,456.249,0.526,456.25,0.939,4.67E+04,0,7.135,0.473,-56.5,165.403,0.199
41.123,1.24E+04,58.236,9.894,456.643,0.527,456.644,0.934,4.67E+04,0,7.012,0.473,-56.5,165.324,0.197
41.173,1.24E+04,57.745,9.892,457.037,0.528,457.038,0.875,4.67E+04,0,6.887,0.473,-56.5,165.246,0.195
41.223,1.24E+04,57.255,9.889,457.431,0.529,457.431,0.895,4.67E+04,0,6.769,0.473,-56.5,165.169,0.194
41.273,1.24E+04,56.765,9.887,457.824,0.53,457.825,0.82,4.67E+04,0,6.645,0.473,-56.5,165.096,0.192
41.323,1.24E+04,56.275,9.885,458.218,0.531,458.218,0.734,4.67E+04,0,6.522,0.473,-56.5,165.025,0.19
41.373,1.24E+04,55.785,9.883,458.611,0.533,458.611,0.77,4.67E+04,0,6.409,0.473,-56.5,164.956,0.189
41.423,1.24E+04,55.296,9.88,459.004,0.534,459.004,0.815,4.67E+04,0,6.298,0.473,-56.5,164.887,0.187
41.473,1.24E+04,54.806,9.877,459.397,0.535,459.397,0.917,4.67E+04,0,6.192,0.473,-56.5,164.819,0.186
41.523,1.24E+04,54.317,9.874,459.789,0.536,459.79,0.937,4.67E+04,0,6.082,0.472,-56.5,164.751,0.184
41.573,1.24E+04,53.828,9.872,460.182,0.537,460.182,0.901,4.67E+04,0,5.968,0.472,-56.5,164.684,0.182
41.623,1.24E+04,53.339,9.87,460.574,0.538,460.574,0.866,4.67E+04,0,5.856,0.472,-56.5,164.618,0.181
41.673,1.24E+04,52.851,9.868,460.966,0.539,460.966,0.786,4.67E+04,0,5.742,0.472,-56.5,164.552,0.179
41.723,1.24E+04,52.362,9.866,461.358,0.54,461.358,0.834,4.67E+04,0,5.638,0.472,-56.5,164.487,0.177
41.773,1.24E+04,51.874,9.863,461.75,0.542,461.75,0.924,4.67E+04,0,5.538,0.472,-56.5,164.423,0.176
41.823,1.24E+04,51.386,9.861,462.141,0.543,462.142,0.839,4.67E+04,0,5.428,0.472,-56.5,164.359,0.174
41.873,1.24E+04,50.899,9.86,462.533,0.544,462.533,0.732,4.67E+04,0,5.317,0.472,-56.5,164.295,0.173
41.923,1.24E+04,50.411,9.858,462.924,0.545,462.924,0.682,4.67E+04,0,5.212,0.472,-56.5,164.233,0.171
41.973,1.24E+04,49.924,9.856,463.315,0.546,463.315,0.645,4.67E+04,0,5.108,0.472,-56.5,164.171,0.169
42.023,1.24E+04,49.437,9.854,463.706,0.547,463.706,0.656,4.67E+04,0,5.009,0.472,-56.5,164.109,0.168
42.073,1.24E+04,48.95,9.852,464.097,0.548,464.097,0.639,4.67E+04,0,4.908,0.472,-56.5,164.049,0.166
42.123,1.24E+04,48.464,9.85,464.488,0.55,464.488,0.677,4.67E+04,0,4.812,0.472,-56.5,163.988,0.164
42.173,1.24E+04,47.977,9.847,464.878,0.551,464.879,0.796,4.67E+04,0,4.722,0.472,-56.5,163.929,0.163
42.223,1.24E+04,47.491,9.844,465.269,0.552,465.269,0.853,4.67E+04,0,4.629,0.471,-56.5,163.87,0.161
42.273,1.24E+04,47.005,9.842,465.659,0.553,465.659,0.872,4.67E+04,0,4.535,0.471,-56.5,163.811,0.16
42.323,1.24E+04,46.52,9.84,466.049,0.554,466.05,0.853,4.67E+04,0,4.442,0.472,-56.5,163.754,0.158
42.373,1.24E+04,46.034,9.838,466.439,0.555,466.44,0.902,4.67E+04,0,4.357,0.472,-56.5,163.697,0.156
42.423,1.24E+04,45.549,9.836,466.829,0.556,466.83,1.049,4.67E+04,0,4.278,0.472,-56.5,163.64,0.155
42.473,1.24E+04,45.064,9.834,467.219,0.558,467.219,1.041,4.67E+04,0,4.191,0.473,-56.5,163.584,0.153
42.523,1.24E+04,44.58,9.832,467.609,0.559,467.609,0.985,4.67E+04,0,4.103,0.473,-56.5,163.529,0.152
42.573,1.24E+04,44.095,9.831,467.998,0.56,467.998,0.97,4.67E+04,0,4.018,0.474,-56.5,163.474,0.15
42.623,1.24E+04,43.611,9.829,468.387,0.561,468.388,0.91,4.67E+04,0,3.931,0.474,-56.5,163.42,0.148
42.673,1.24E+04,43.127,9.828,468.777,0.562,468.777,0.871,4.67E+04,0,3.847,0.475,-56.5,163.367,0.147
42.723,1.25E+04,42.644,9.826,469.166,0.563,469.166,0.958,4.67E+04,0,3.77,0.476,-56.5,163.314,0.145
42.773,1.25E+04,42.16,9.824,469.555,0.565,469.555,1.031,4.67E+04,0,3.693,0.476,-56.5,163.262,0.143
42.823,1.25E+04,41.677,9.822,469.943,0.566,469.944,0.956,4.67E+04,0,3.609,0.477,-56.5,163.21,0.142
42.873,1.25E+04,41.194,9.821,470.332,0.567,470.332,0.926,4.67E+04,0,3.529,0.477,-56.5,163.159,0.14
42.923,1.25E+04,40.712,9.819,470.721,0.568,470.721,1.018,4.67E+04,0,3.455,0.478,-56.5,163.109,0.139
42.973,1.25E+04,40.229,9.817,471.109,0.569,471.109,1.118,4.67E+04,0,3.383,0.478,-56.5,163.059,0.137
43.023,1.25E+04,39.748,9.815,471.497,0.57,471.498,1.163,4.67E+04,0,3.309,0.479,-56.5,163.01,0.135
43.073,1.25E+04,39.266,9.814,471.886,0.572,471.886,1.147,4.67E+04,0,3.232,0.48,-56.5,162.962,0.134
43.123,1.25E+04,38.785,9.812,472.274,0.573,472.274,1.157,4.67E+04,0,3.158,0.48,-56.5,162.914,0.132
43.173,1.25E+04,38.304,9.81,472.662,0.574,472.662,1.214,4.67E+04,0,3.087,0.481,-56.5,162.867,0.131
43.223,1.25E+04,37.823,9.808,473.049,0.575,473.05,1.299,4.67E+04,0,3.018,0.481,-56.5,162.82,0.129
43.273,1.25E+04,37.343,9.807,473.437,0.576,473.437,1.257,4.67E+04,0,2.944,0.482,-56.5,162.774,0.127
43.323,1.25E+04,36.863,9.806,473.825,0.577,473.825,1.175,4.67E+04,0,2.869,0.483,-56.5,162.728,0.126
43.373,1.25E+04,36.383,9.805,474.212,0.579,474.212,1.081,4.67E+04,0,2.794,0.483,-56.5,162.684,0.124
43.423,1.25E+04,35.904,9.804,474.599,0.58,474.6,1.091,4.67E+04,0,2.725,0.484,-56.5,162.639,0.122
43.473,1.25E+04,35.425,9.802,474.987,0.581,474.987,1.242,4.67E+04,0,2.663,0.485,-56.5,162.596,0.121
43.523,1.25E+04,34.946,9.8,475.374,0.582,475.374,1.325,4.67E+04,0,2.599,0.485,-56.5,162.553,0.119
43.573,1.25E+04,34.468,9.798,475.761,0.583,475.761,1.374,4.67E+04,0,2.533,0.486,-56.5,162.511,0.118
43.623,1.25E+04,33.99,9.797,476.148,0.585,476.148,1.415,4.67E+04,0,2.469,0.487,-56.5,162.469,0.116
43.673,1.25E+04,33.513,9.795,476.534,0.586,476.535,1.56,4.67E+04,0,2.41,0.488,-56.5,162.428,0.115
43.723,1.25E+04,33.036,9.792,476.921,0.587,476.921,1.875,4.67E+04,0,2.359,0.488,-56.5,162.387,0.113
43.773,1.25E+04,32.56,9.791,477.307,0.588,477.308,1.987,4.67E+04,0,2.3,0.489,-56.5,162.347,0.112
43.823,1.25E+04,32.084,9.789,477.694,0.589,477.694,2.021,4.67E+04,0,2.238,0.49,-56.5,162.308,0.11
43.873,1.25E+04,31.608,9.787,478.08,0.59,478.08,2.296,4.67E+04,0,2.189,0.49,-56.5,162.269,0.109
43.923,1.25E+04,31.133,9.785,478.466,0.592,478.467,2.528,4.67E+04,0,2.138,0.491,-56.5,162.231,0.107
43.973,1.25E+04,30.659,9.783,478.852,0.593,478.853,2.696,4.67E+04,0,2.085,0.492,-56.5,162.194,0.106
44.023,1.25E+04,30.185,9.781,479.238,0.594,479.238,2.914,4.67E+04,0,2.036,0.493,-56.5,162.157,0.104
44.073,1.25E+04,29.712,9.78,479.624,0.595,479.624,3.026,4.67E+04,0,1.981,0.494,-56.5,162.121,0.102
44.123,1.25E+04,29.239,9.779,480.009,0.596,480.009,3.034,4.67E+04,0,1.922,0.495,-56.5,162.085,0.101
44.173,1.25E+04,28.767,9.778,480.394,0.598,480.395,3.014,4.67E+04,0,1.862,0.496,-56.5,162.05,0.099
44.223,1.25E+04,28.295,9.777,480.78,0.599,480.78,3.112,4.67E+04,0,1.809,0.496,-56.5,162.016,0.098
44.273,1.25E+04,27.825,9.775,481.165,0.6,481.165,3.299,4.67E+04,0,1.76,0.497,-56.5,161.982,0.096
44.323,1.25E+04,27.354,9.774,481.55,0.601,481.55,3.342,4.67E+04,0,1.706,0.498,-56.5,161.949,0.094
44.373,1.25E+04,26.885,9.772,481.934,0.602,481.935,3.544,4.67E+04,0,1.659,0.499,-56.5,161.916,0.093
44.423,1.25E+04,26.416,9.77,482.319,0.604,482.319,3.879,4.67E+04,0,1.62,0.5,-56.5,161.884,0.091
44.473,1.25E+04,25.949,9.768,482.703,0.605,482.704,4.293,4.67E+04,0,1.586,0.501,-56.5,161.853,0.09
44.523,1.25E+04,25.481,9.766,483.088,0.606,483.088,4.567,4.67E+04,0,1.545,0.502,-56.5,161.822,0.089
44.573,1.25E+04,25.015,9.765,483.472,0.607,483.472,4.597,4.67E+04,0,1.492,0.503,-56.5,161.792,0.087
44.623,1.25E+04,24.55,9.765,483.856,0.608,483.856,4.692,4.67E+04,0,1.444,0.504,-56.5,161.763,0.085
44.673,1.25E+04,24.086,9.764,484.239,0.61,484.24,4.794,4.67E+04,0,1.396,0.505,-56.5,161.734,0.084
44.723,1.25E+04,23.622,9.762,484.623,0.611,484.623,5.069,4.67E+04,0,1.356,0.506,-56.5,161.705,0.082
44.773,1.25E+04,23.16,9.761,485.006,0.612,485.007,5.336,4.67E+04,0,1.317,0.508,-56.5,161.678,0.081
44.823,1.25E+04,22.699,9.759,485.39,0.613,485.39,5.673,4.67E+04,0,1.282,0.509,-56.5,161.651,0.079
44.873,1.25E+04,22.239,9.757,485.773,0.614,485.773,6.005,4.67E+04,0,1.246,0.51,-56.5,161.624,0.078
44.923,1.25E+04,21.781,9.755,486.155,0.616,486.156,6.502,4.67E+04,0,1.219,0.511,-56.5,161.598,0.076
44.973,1.25E+04,21.324,9.753,486.538,0.617,486.539,7.074,4.67E+04,0,1.195,0.512,-56.5,161.573,0.075
45.023,1.25E+04,20.868,9.751,486.921,0.618,486.921,7.527,4.67E+04,0,1.165,0.513,-56.5,161.549,0.074
45.073,1.25E+04,20.413,9.75,487.303,0.619,487.303,7.88,4.67E+04,0,1.131,0.514,-56.5,161.525,0.072
45.123,1.25E+04,19.961,9.749,487.685,0.62,487.686,7.982,4.67E+04,0,1.085,0.516,-56.5,161.501,0.071
45.173,1.25E+04,19.51,9.749,488.067,0.622,488.067,8.129,4.67E+04,0,1.042,0.517,-56.5,161.478,0.069
45.223,1.25E+04,19.061,9.749,488.449,0.623,488.449,8.201,4.67E+04,0,0.996,0.519,-56.5,161.456,0.067
45.273,1.25E+04,18.614,9.748,488.83,0.624,488.831,8.563,4.67E+04,0,0.963,0.52,-56.5,161.435,0.066
45.323,1.25E+04,18.169,9.745,489.212,0.625,489.212,9.418,4.67E+04,0,0.949,0.522,-56.5,161.414,0.065
45.373,1.25E+04,17.726,9.743,489.593,0.626,489.593,10.098,4.67E+04,0,0.926,0.523,-56.5,161.393,0.063
45.423,1.25E+04,17.285,9.742,489.974,0.628,489.974,10.465,4.67E+04,0,0.892,0.525,-56.5,161.374,0.062
45.473,1.25E+04,16.848,9.74,490.354,0.629,490.355,11.017,4.67E+04,0,0.863,0.526,-56.5,161.355,0.06
45.523,1.25E+04,16.413,9.738,490.735,0.63,490.735,11.754,4.67E+04,0,0.84,0.528,-56.5,161.336,0.059
45.573,1.25E+04,15.981,9.737,491.115,0.631,491.116,12.367,4.67E+04,0,0.812,0.529,-56.5,161.318,0.058
